"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred_train"
"1493",2899.317224,"No","Basic","High School or Below","Employed","F",33738,"Urban","Divorced",74,6,50,1,1,"Corporate Auto","Corporate L1","Offer2","Agent",304.390472,"Four-Door Car","Medsize",4520.398801639
"1494",3633.05403,"No","Extended","Bachelor","Employed","M",43334,"Suburban","Married",95,3,72,2,1,"Corporate Auto","Corporate L2","Offer4","Call Center",614.367195,"Two-Door Car","Small",5587.20699059518
"1495",3457.154249,"No","Extended","College","Unemployed","F",0,"Urban","Married",91,13,89,0,1,"Personal Auto","Personal L3","Offer3","Web",245.673365,"Four-Door Car","Medsize",5706.64706649342
"1496",3394.720301,"No","Extended","College","Employed","F",83431,"Suburban","Married",84,13,33,0,1,"Personal Auto","Personal L3","Offer2","Web",403.2,"Four-Door Car","Medsize",5125.09548181376
"1497",3781.4548,"No","Extended","College","Employed","M",57647,"Suburban","Married",94,3,99,0,1,"Personal Auto","Personal L3","Offer1","Branch",451.2,"Two-Door Car","Medsize",5842.89122704983
"1498",5841.528134,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Divorced",79,17,4,0,3,"Personal Auto","Personal L1","Offer1","Call Center",379.2,"Four-Door Car","Large",5813.35687339554
"1499",5479.854218,"No","Basic","High School or Below","Employed","M",38210,"Suburban","Married",69,25,41,0,3,"Personal Auto","Personal L2","Offer2","Agent",383.043363,"Four-Door Car","Medsize",5095.56112815947
"1501",8319.123035,"No","Basic","Bachelor","Employed","F",49734,"Rural","Married",69,3,41,0,2,"Corporate Auto","Corporate L3","Offer4","Call Center",154.748539,"Four-Door Car","Medsize",5033.36644697696
"1503",4163.79336,"No","Basic","College","Disabled","M",11689,"Suburban","Divorced",117,7,46,0,1,"Corporate Auto","Corporate L3","Offer4","Web",561.6,"SUV","Medsize",7503.56563267249
"1505",7531.697272,"No","Basic","High School or Below","Employed","M",82157,"Suburban","Single",188,5,33,0,1,"Corporate Auto","Corporate L3","Offer4","Agent",1353.6,"Luxury Car","Medsize",10111.874924484
"1506",3280.457296,"No","Extended","Bachelor","Employed","F",63297,"Urban","Married",82,1,33,0,1,"Personal Auto","Personal L3","Offer2","Web",251.756739,"Four-Door Car","Medsize",5034.26604144282
"1508",2684.581561,"No","Basic","High School or Below","Employed","M",98121,"Suburban","Divorced",67,22,49,0,1,"Personal Auto","Personal L3","Offer2","Web",383.655742,"Two-Door Car","Small",4353.04523866077
"1509",10392.96347,"No","Extended","Bachelor","Employed","M",93495,"Urban","Married",129,8,0,0,9,"Personal Auto","Personal L1","Offer1","Agent",618.20653,"SUV","Medsize",10655.2880714092
"1511",5352.18703,"No","Extended","High School or Below","Employed","F",97742,"Rural","Married",132,6,52,0,1,"Corporate Auto","Corporate L3","Offer4","Branch",199.590599,"SUV","Medsize",8184.78643545454
"1513",2557.094323,"No","Basic","College","Unemployed","M",0,"Suburban","Divorced",73,30,8,0,1,"Corporate Auto","Corporate L1","Offer1","Branch",525.6,"Four-Door Car","Medsize",4889.18210315496
"1514",7914.82311,"No","Extended","College","Employed","F",77153,"Urban","Married",99,3,27,1,5,"Personal Auto","Personal L3","Offer1","Branch",355.641958,"Four-Door Car","Medsize",7222.78824791264
"1516",4351.550504,"No","Premium","High School or Below","Employed","F",74163,"Suburban","Married",108,14,63,0,1,"Personal Auto","Personal L1","Offer4","Agent",518.4,"Four-Door Car","Small",6478.69730964641
"1518",4825.258632,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",71,8,30,0,8,"Personal Auto","Personal L2","Offer4","Web",511.2,"Two-Door Car","Medsize",7079.25523473118
"1520",3344.809462,"No","Extended","College","Employed","F",33243,"Rural","Married",85,13,19,0,1,"Personal Auto","Personal L3","Offer2","Call Center",24.555177,"Four-Door Car","Small",5170.51020199923
"1521",2357.503128,"No","Basic","Master","Unemployed","M",0,"Urban","Married",64,25,80,0,1,"Personal Auto","Personal L3","Offer2","Branch",199.791024,"Four-Door Car","Medsize",4216.80107810436
"1523",10408.96865,"Yes","Basic","High School or Below","Retired","M",20228,"Suburban","Divorced",101,3,43,1,2,"Personal Auto","Personal L2","Offer1","Branch",523.815839,"SUV","Medsize",6952.22385594879
"1524",4048.16129,"No","Basic","High School or Below","Employed","F",92801,"Urban","Married",100,24,23,0,1,"Personal Auto","Personal L2","Offer2","Web",407.045238,"SUV","Medsize",6467.86684613814
"1526",2903.024168,"No","Basic","College","Employed","M",36845,"Suburban","Married",74,14,33,0,1,"Personal Auto","Personal L2","Offer4","Branch",355.2,"Four-Door Car","Small",4934.59682334043
"1528",3242.043926,"No","Extended","Master","Employed","F",72330,"Rural","Married",81,2,50,2,1,"Personal Auto","Personal L3","Offer2","Call Center",126.509441,"Four-Door Car","Small",4687.75236461724
"1529",2467.620791,"No","Basic","Bachelor","Medical Leave","F",19352,"Suburban","Married",65,16,0,0,1,"Personal Auto","Personal L3","Offer1","Branch",724.463534,"Four-Door Car","Small",4525.8643416712
"1530",5674.383424,"No","Basic","College","Unemployed","M",0,"Suburban","Married",62,13,6,5,2,"Personal Auto","Personal L3","Offer1","Agent",297.6,"Four-Door Car","Medsize",3962.71601407838
"1531",8634.355958,"No","Extended","College","Disabled","F",25073,"Suburban","Single",79,3,84,0,2,"Personal Auto","Personal L3","Offer1","Branch",379.2,"Four-Door Car","Medsize",5487.51364883166
"1532",2780.196856,"No","Basic","High School or Below","Disabled","F",20261,"Suburban","Divorced",72,4,55,0,1,"Personal Auto","Personal L2","Offer4","Web",345.6,"Four-Door Car","Large",4843.76738296949
"1534",2514.59196,"Yes","Basic","High School or Below","Employed","F",43860,"Rural","Single",65,15,58,0,1,"Corporate Auto","Corporate L1","Offer2","Agent",156.124914,"Four-Door Car","Medsize",4262.21579828983
"1535",5886.221122,"No","Basic","College","Unemployed","M",0,"Suburban","Single",180,21,68,0,1,"Corporate Auto","Corporate L3","Offer2","Agent",1777.471271,"Luxury Car","Small",9484.90861961889
"1536",7706.036295,"No","Basic","Doctor","Employed","F",48019,"Rural","Married",64,15,94,0,2,"Corporate Auto","Corporate L3","Offer1","Agent",137.665031,"Four-Door Car","Medsize",4806.29284604961
"1538",2397.036098,"Yes","Basic","High School or Below","Retired","F",22283,"Suburban","Divorced",65,16,93,0,1,"Corporate Auto","Corporate L3","Offer1","Branch",572.072106,"Four-Door Car","Medsize",4525.8643416712
"1540",14435.67365,"Yes","Premium","Master","Employed","M",60880,"Rural","Married",119,25,89,0,2,"Personal Auto","Personal L3","Offer1","Agent",109.906628,"Two-Door Car","Medsize",7304.10245625046
"1544",10899.30177,"No","Extended","High School or Below","Employed","F",58518,"Rural","Married",136,17,9,0,3,"Personal Auto","Personal L3","Offer1","Agent",323.637414,"SUV","Medsize",9018.13176532418
"1545",5284.041003,"No","Basic","Bachelor","Employed","M",61542,"Suburban","Married",67,33,83,0,6,"Personal Auto","Personal L3","Offer1","Agent",321.6,"Four-Door Car","Medsize",6245.90990486154
"1546",2891.726781,"No","Basic","Bachelor","Employed","F",56761,"Rural","Married",73,31,80,1,1,"Corporate Auto","Corporate L2","Offer1","Branch",85.146928,"Two-Door Car","Large",4738.6326248349
"1549",8415.644389,"No","Basic","College","Unemployed","M",0,"Suburban","Single",62,8,98,0,2,"Personal Auto","Personal L2","Offer1","Branch",446.4,"Four-Door Car","Small",4715.46340567867
"1550",6630.836094,"No","Basic","Bachelor","Unemployed","M",0,"Urban","Divorced",66,20,53,0,2,"Personal Auto","Personal L3","Offer1","Branch",315.950185,"Four-Door Car","Medsize",4897.12228642055
"1552",3895.034766,"No","Premium","Bachelor","Employed","M",52361,"Suburban","Single",102,13,78,0,1,"Personal Auto","Personal L3","Offer3","Agent",645.952371,"Four-Door Car","Medsize",6206.20898853359
"1554",3419.108695,"No","Extended","High School or Below","Employed","M",40272,"Rural","Married",86,8,64,0,1,"Personal Auto","Personal L3","Offer3","Agent",23.387192,"Two-Door Car","Medsize",5479.57346556607
"1555",7302.775082,"No","Basic","Master","Employed","M",30492,"Urban","Married",61,32,68,0,2,"Personal Auto","Personal L3","Offer1","Branch",171.38289,"Four-Door Car","Medsize",4670.0486854932
"1558",5224.328801,"No","Basic","Bachelor","Employed","F",83389,"Urban","Married",65,5,57,0,3,"Corporate Auto","Corporate L2","Offer2","Branch",209.25613,"Two-Door Car","Small",4913.90224741759
"1560",3167.888725,"No","Extended","Bachelor","Employed","M",61638,"Suburban","Divorced",82,3,55,2,1,"Corporate Auto","Corporate L3","Offer2","Web",544.340079,"Four-Door Car","Medsize",4733.16708480271
"1561",7805.31287,"Yes","Basic","College","Retired","F",21073,"Suburban","Divorced",106,25,54,1,3,"Personal Auto","Personal L2","Offer1","Agent",508.8,"SUV","Small",7505.14068144002
"1564",7539.600588,"No","Basic","College","Unemployed","M",0,"Suburban","Single",74,23,64,0,2,"Personal Auto","Personal L3","Offer1","Branch",532.8,"Four-Door Car","Large",5260.44004790431
"1566",13156.74895,"No","Extended","High School or Below","Employed","M",72517,"Urban","Married",82,33,27,0,2,"Personal Auto","Personal L3","Offer2","Web",371.458196,"Two-Door Car","Medsize",5360.1092660067
"1569",8649.175023,"No","Basic","College","Employed","F",43383,"Suburban","Married",109,7,60,0,8,"Personal Auto","Personal L1","Offer3","Branch",757.593913,"SUV","Medsize",9421.15044313589
"1570",7519.133631,"Yes","Extended","High School or Below","Employed","M",96306,"Rural","Divorced",95,12,17,1,6,"Special Auto","Special L2","Offer1","Agent",185.355353,"Four-Door Car","Medsize",7366.97259173464
"1571",4293.009593,"No","Basic","College","Unemployed","F",0,"Suburban","Single",61,18,15,0,8,"Corporate Auto","Corporate L3","Offer1","Agent",292.8,"Two-Door Car","Large",6625.10803287648
"1573",13160.3389,"No","Basic","College","Employed","F",94125,"Urban","Married",109,33,21,0,2,"Personal Auto","Personal L2","Offer2","Call Center",341.680131,"SUV","Medsize",7202.44255237125
"1574",13235.54436,"No","Basic","College","Employed","M",39778,"Suburban","Married",112,23,49,0,2,"Personal Auto","Personal L3","Offer1","Call Center",806.4,"SUV","Medsize",7602.33525630902
"1575",3744.577726,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",101,3,32,0,1,"Personal Auto","Personal L3","Offer1","Agent",727.2,"SUV","Small",6776.93010970497
"1577",2644.684556,"No","Basic","Bachelor","Employed","M",54000,"Suburban","Divorced",66,15,45,0,1,"Corporate Auto","Corporate L1","Offer1","Call Center",373.881547,"Two-Door Car","Medsize",4571.27906185667
"1578",5073.282126,"Yes","Extended","Doctor","Employed","M",57709,"Suburban","Married",125,10,26,0,1,"Personal Auto","Personal L1","Offer2","Branch",600,"SUV","Medsize",7603.23485077489
"1579",4272.585137,"No","Basic","High School or Below","Employed","F",81132,"Urban","Divorced",107,19,52,0,1,"Corporate Auto","Corporate L2","Offer2","Agent",419.105559,"SUV","Small",6785.76988743643
"1582",8875.965501,"No","Premium","Doctor","Employed","F",69205,"Urban","Married",110,20,56,0,6,"Personal Auto","Personal L3","Offer2","Web",372.362565,"Four-Door Car","Medsize",7935.09432945538
"1583",11077.68591,"No","Extended","Bachelor","Employed","M",78011,"Urban","Married",138,14,42,0,3,"Personal Auto","Personal L3","Offer1","Agent",619.698644,"SUV","Medsize",9108.96120569512
"1584",2435.689035,"No","Basic","College","Employed","M",32931,"Suburban","Married",62,16,45,0,1,"Personal Auto","Personal L2","Offer2","Agent",297.6,"Four-Door Car","Medsize",4125.97163773342
"1585",8743.852187,"No","Premium","Bachelor","Employed","F",99517,"Rural","Divorced",109,2,93,0,3,"Personal Auto","Personal L2","Offer2","Agent",239.905208,"Four-Door Car","Medsize",6912.14993557828
"1586",2409.760898,"No","Basic","Bachelor","Employed","M",59665,"Urban","Single",62,33,3,1,1,"Personal Auto","Personal L3","Offer1","Agent",167.138119,"Two-Door Car","Medsize",4239.07070279473
"1589",3591.996064,"No","Extended","College","Employed","M",28013,"Suburban","Divorced",91,16,13,0,1,"Personal Auto","Personal L1","Offer2","Branch",655.2,"Four-Door Car","Medsize",5442.99852311205
"1590",8539.826923,"No","Basic","High School or Below","Employed","F",55478,"Urban","Married",71,7,1,0,2,"Personal Auto","Personal L2","Offer2","Branch",339.399593,"Two-Door Car","Medsize",4860.54734396653
"1592",3979.388247,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",112,11,3,0,1,"Personal Auto","Personal L3","Offer1","Agent",806.4,"SUV","Medsize",7276.49203174514
"1596",4362.931238,"Yes","Premium","College","Employed","M",58842,"Suburban","Married",110,6,74,0,1,"Personal Auto","Personal L3","Offer2","Branch",528,"Four-Door Car","Medsize",6305.87820663599
"1600",4217.857932,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",62,19,75,0,3,"Personal Auto","Personal L3","Offer1","Branch",446.4,"Two-Door Car","Small",5041.30663024255
"1601",7596.291531,"No","Basic","College","Employed","M",59847,"Suburban","Married",192,28,62,0,1,"Corporate Auto","Corporate L3","Offer4","Call Center",921.6,"Luxury Car","Medsize",10293.5338052259
"1604",3420.452207,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Married",92,2,38,0,1,"Personal Auto","Personal L2","Offer4","Web",441.6,"Four-Door Car","Small",5752.06178667889
"1605",4839.107156,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Single",137,18,50,0,1,"Personal Auto","Personal L1","Offer2","Agent",1227.458548,"SUV","Medsize",8148.21149300053
"1606",4358.553534,"No","Basic","Bachelor","Unemployed","F",0,"Rural","Married",118,18,91,0,1,"Corporate Auto","Corporate L2","Offer1","Agent",101.826804,"Sports Car","Medsize",6932.84451150111
"1609",8396.327608,"No","Basic","Master","Unemployed","F",0,"Suburban","Married",115,18,80,1,3,"Personal Auto","Personal L2","Offer3","Web",552,"SUV","Medsize",7913.87316310925
"1611",5585.30807,"No","Extended","Doctor","Unemployed","M",0,"Rural","Single",80,14,17,0,9,"Corporate Auto","Corporate L2","Offer1","Web",6.281344,"Four-Door Car","Medsize",7813.83094096429
"1612",8639.49502,"No","Basic","Doctor","Employed","F",92374,"Rural","Divorced",107,16,9,1,3,"Personal Auto","Personal L2","Offer2","Call Center",220.018279,"SUV","Medsize",7286.90685824413
"1614",8385.252347,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",116,0,35,0,7,"Personal Auto","Personal L3","Offer1","Call Center",556.8,"Sports Car","Medsize",8797.07441851345
"1619",4893.291507,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",73,11,56,0,5,"Corporate Auto","Corporate L3","Offer2","Branch",680.047456,"Four-Door Car","Medsize",5928.90645802911
"1623",9553.415528,"No","Premium","College","Unemployed","M",0,"Suburban","Single",146,20,14,0,4,"Corporate Auto","Corporate L3","Offer1","Agent",1051.2,"SUV","Medsize",9798.12219174276
"1625",7324.928202,"No","Premium","Bachelor","Unemployed","F",0,"Suburban","Single",105,4,98,0,6,"Special Auto","Special L2","Offer1","Branch",504,"Two-Door Car","Medsize",7971.6692719094
"1626",5333.038137,"No","Basic","High School or Below","Employed","M",55674,"Rural","Married",66,10,95,0,3,"Personal Auto","Personal L3","Offer1","Branch",81.710575,"Four-Door Car","Medsize",5222.96551098443
"1628",2829.863912,"No","Basic","High School or Below","Employed","F",25317,"Rural","Married",71,15,97,0,1,"Personal Auto","Personal L2","Offer4","Branch",50.422181,"Two-Door Car","Medsize",4798.35266278402
"1629",3483.630439,"No","Extended","College","Employed","F",42983,"Suburban","Married",86,28,18,0,1,"Personal Auto","Personal L3","Offer3","Call Center",412.8,"Four-Door Car","Medsize",5479.57346556607
"1633",2912.248444,"No","Basic","College","Employed","F",93403,"Urban","Divorced",73,18,32,0,1,"Personal Auto","Personal L2","Offer2","Web",295.224598,"Four-Door Car","Small",4625.53355977359
"1636",5217.513287,"Yes","Basic","Bachelor","Employed","F",39854,"Urban","Divorced",66,6,4,0,7,"Personal Auto","Personal L2","Offer2","Web",261.930545,"Two-Door Car","Medsize",6262.68986585858
"1637",11490.33618,"No","Premium","College","Unemployed","M",0,"Suburban","Married",161,0,94,0,3,"Personal Auto","Personal L3","Offer2","Branch",1052.933035,"SUV","Large",9889.85122657957
"1638",2864.544017,"No","Basic","Master","Employed","F",91368,"Suburban","Divorced",71,13,95,0,1,"Personal Auto","Personal L1","Offer1","Agent",395.328407,"Four-Door Car","Large",4798.35266278402
"1643",5801.128252,"No","Basic","Master","Employed","F",48927,"Rural","Divorced",72,1,51,0,9,"Personal Auto","Personal L2","Offer1","Agent",139.354893,"Four-Door Car","Medsize",7450.51317948053
"1644",9472.973811,"No","Extended","Bachelor","Unemployed","F",0,"Suburban","Married",86,30,32,0,2,"Personal Auto","Personal L3","Offer1","Call Center",412.8,"Four-Door Car","Medsize",5805.41669012995
"1646",4387.31087,"No","Basic","Master","Employed","M",48015,"Suburban","Married",110,24,57,0,1,"Corporate Auto","Corporate L2","Offer4","Call Center",528,"Sports Car","Medsize",6569.52675001735
"1647",4522.883533,"No","Basic","College","Unemployed","M",0,"Suburban","Married",61,8,78,0,9,"Personal Auto","Personal L3","Offer1","Web",292.8,"Four-Door Car","Medsize",6950.95125744036
"1648",5418.152088,"No","Basic","College","Employed","F",57587,"Urban","Divorced",68,4,83,0,7,"Personal Auto","Personal L2","Offer3","Agent",257.090387,"Four-Door Car","Medsize",6617.16784961089
